RegionID,RegionName,StateName,3/31/2024
102001,United States,,913266
394913,"New York, NY",NY,36219
753899,"Los Angeles, CA",CA,14558
394463,"Chicago, IL",IL,19049
394514,"Dallas, TX",TX,22517
394692,"Houston, TX",TX,22897
395209,"Washington, DC",VA,8725
394974,"Philadelphia, PA",PA,11064
394856,"Miami, FL",FL,43370
394347,"Atlanta, GA",GA,20721
394404,"Boston, MA",MA,5999
394976,"Phoenix, AZ",AZ,17906
395057,"San Francisco, CA",CA,5176
395025,"Riverside, CA",CA,11576
394532,"Detroit, MI",MI,9915
395078,"Seattle, WA",WA,5294
394865,"Minneapolis, MN",MN,6775
395056,"San Diego, CA",CA,4440
395148,"Tampa, FL",FL,17323
394530,"Denver, CO",CO,7429
394358,"Baltimore, MD",MD,5089
395121,"St. Louis, MO",MO,5898
394943,"Orlando, FL",FL,11592
394458,"Charlotte, NC",NC,7646
395055,"San Antonio, TX",TX,10478
394998,"Portland, OR",OR,5390
395045,"Sacramento, CA",CA,3666
394982,"Pittsburgh, PA",PA,5244
394466,"Cincinnati, OH",OH,3830
394355,"Austin, TX",TX,9693
394775,"Las Vegas, NV",NV,7590
394735,"Kansas City, MO",MO,4455
394492,"Columbus, OH",OH,3514
394705,"Indianapolis, IN",IN,5150
394475,"Cleveland, OH",OH,4149
395059,"San Jose, CA",CA,1557
394902,"Nashville, TN",TN,6047
395194,"Virginia Beach, VA",VA,4772
395005,"Providence, RI",RI,2000
394714,"Jacksonville, FL",FL,8524
394862,"Milwaukee, WI",WI,2810
394935,"Oklahoma City, OK",OK,5504
395012,"Raleigh, NC",NC,2774
394849,"Memphis, TN",TN,4509
395022,"Richmond, VA",VA,2153
394807,"Louisville, KY",KY,3060
394910,"New Orleans, LA",LA,5155
395053,"Salt Lake City, UT",UT,2531
394669,"Hartford, CT",CT,1362
394425,"Buffalo, NY",NY,1297
394388,"Birmingham, AL",AL,3965
395031,"Rochester, NY",NY,1103
394640,"Grand Rapids, MI",MI,1296
395167,"Tucson, AZ",AZ,3357
753924,"Urban Honolulu, HI",HI,2848
395169,"Tulsa, OK",OK,3519
394619,"Fresno, CA",CA,1402
395238,"Worcester, MA",MA,1185
394938,"Omaha, NE",NE,1725
394415,"Bridgeport, CT",CT,1446
394653,"Greenville, SC",SC,2849
394312,"Albuquerque, NM",NM,1816
394357,"Bakersfield, CA",CA,1912
394308,"Albany, NY",NY,1266
394753,"Knoxville, TN",TN,2366
394367,"Baton Rouge, LA",LA,2677
394843,"McAllen, TX",TX,3213
394908,"New Haven, CT",CT,1121
394561,"El Paso, TX",TX,2944
394318,"Allentown, PA",PA,1341
394952,"Oxnard, CA",CA,1060
394486,"Columbia, SC",SC,2330
753906,"North Port, FL",FL,9026
845158,"Dayton, OH",OH,1597
394457,"Charleston, SC",SC,3156
394648,"Greensboro, NC",NC,1627
395134,"Stockton, CA",CA,1011
394440,"Cape Coral, FL",FL,16505
394399,"Boise City, ID",ID,1811
394484,"Colorado Springs, CO",CO,2288
394798,"Little Rock, AR",AR,2597
394766,"Lakeland, FL",FL,4211
394304,"Akron, OH",OH,1305
394531,"Des Moines, IA",IA,2049
395115,"Springfield, MA",MA,817
845159,"Poughkeepsie, NY",NY,1619
394931,"Ogden, UT",UT,1655
394816,"Madison, WI",WI,1110
395235,"Winston, NC",NC,1409
394528,"Deltona, FL",FL,6024
395143,"Syracuse, NY",NY,800
395006,"Provo, UT",UT,1642
395160,"Toledo, OH",OH,1162
395224,"Wichita, KS",KS,1294
394549,"Durham, NC",NC,1233
394352,"Augusta, GA",GA,1837
394957,"Palm Bay, FL",FL,4103
394711,"Jackson, MS",MS,1875
394666,"Harrisburg, PA",PA,800
395113,"Spokane, WA",WA,1192
395075,"Scranton, PA",PA,1064
394460,"Chattanooga, TN",TN,2076
394871,"Modesto, CA",CA,702
394768,"Lancaster, PA",PA,467
394997,"Portland, ME",ME,987
395245,"Youngstown, OH",OH,1206
394770,"Lansing, MI",MI,959
394590,"Fayetteville, AR",AR,1808
394589,"Fayetteville, NC",NC,1495
394792,"Lexington, KY",KY,1046
394971,"Pensacola, FL",FL,2772
395068,"Santa Rosa, CA",CA,659
395019,"Reno, NV",NV,1276
394698,"Huntsville, AL",AL,1697
394995,"Port St. Lucie, FL",FL,4631
394761,"Lafayette, LA",LA,1184
394898,"Myrtle Beach, SC",SC,6587
395116,"Springfield, MO",MO,1301
395195,"Visalia, CA",CA,711
394746,"Killeen, TX",TX,2751
394338,"Asheville, NC",NC,2027
395244,"York, PA",PA,719
395183,"Vallejo, CA",CA,647
753917,"Santa Maria, CA",CA,565
395050,"Salinas, CA",CA,436
395048,"Salem, OR",OR,901
394870,"Mobile, AL",AL,1408
395015,"Reading, PA",PA,530
394502,"Corpus Christi, TX",TX,2402
394421,"Brownsville, TX",TX,1263
394820,"Manchester, NH",NH,379
394612,"Fort Wayne, IN",IN,809
394658,"Gulfport, MS",MS,2184
395051,"Salisbury, MD",DE,1885
394596,"Flint, MI",MI,1027
394972,"Peoria, IL",IL,874
394439,"Canton, OH",OH,737
395070,"Savannah, GA",GA,1547
394327,"Anchorage, AK",AK,597
394372,"Beaumont, TX",TX,1500
395096,"Shreveport, LA",LA,1420
395164,"Trenton, NJ",NJ,515
394875,"Montgomery, AL",AL,1224
394520,"Davenport, IA",IL,841
395146,"Tallahassee, FL",FL,1057
394576,"Eugene, OR",OR,866
394901,"Naples, FL",FL,6690
394332,"Ann Arbor, MI",MI,478
394927,"Ocala, FL",FL,2835
394679,"Hickory, NC",NC,1252
394697,"Huntington, WV",OH,770
394602,"Fort Collins, CO",CO,1130
395033,"Rockford, IL",IL,540
394796,"Lincoln, NE",NE,616
394622,"Gainesville, FL",FL,1268
394405,"Boulder, CO",CO,918
394646,"Green Bay, WI",WI,718
394488,"Columbus, GA",GA,903
395107,"South Bend, IN",IN,799
395109,"Spartanburg, SC",SC,1088
394645,"Greeley, CO",CO,1103
394808,"Lubbock, TX",TX,1418
394471,"Clarksville, TN",TN,1096
395028,"Roanoke, VA",VA,689
394579,"Evansville, IN",IN,749
394747,"Kingsport, TN",TN,849
394741,"Kennewick, WA",WA,613
395179,"Utica, NY",NY,451
394660,"Hagerstown, MD",MD,568
394543,"Duluth, MN",MN,548
394937,"Olympia, WA",WA,446
394803,"Longview, TX",TX,1100
395229,"Wilmington, NC",NC,1131
395061,"San Luis Obispo, CA",CA,560
753875,"Crestview, FL",FL,3975
394851,"Merced, CA",CA,403
395197,"Waco, TX",TX,1250
394447,"Cedar Rapids, IA",IA,705
394348,"Atlantic City, NJ",NJ,1057
394412,"Bremerton, WA",WA,410
395103,"Sioux Falls, SD",SD,801
395065,"Santa Cruz, CA",CA,329
394572,"Erie, PA",PA,362
394924,"Norwich, CT",CT,470
394323,"Amarillo, TX",TX,1042
394772,"Laredo, TX",TX,470
395171,"Tuscaloosa, AL",AL,759
394483,"College Station, TX",TX,1082
394732,"Kalamazoo, MI",MI,466
394811,"Lynchburg, VA",VA,648
394455,"Charleston, WV",WV,510
395240,"Yakima, WA",WA,365
394585,"Fargo, ND",ND,571
394387,"Binghamton, NY",NY,418
394609,"Fort Smith, AR",AR,885
394334,"Appleton, WI",WI,564
845160,"Prescott Valley, AZ",AZ,1398
395161,"Topeka, KS",KS,447
394813,"Macon, GA",GA,970
395174,"Tyler, TX",TX,1055
394361,"Barnstable Town, MA",MA,992
394519,"Daphne, AL",AL,2601
394378,"Bellingham, WA",WA,384
394429,"Burlington, VT",VT,263
395030,"Rochester, MN",MN,463
753895,"Lafayette, IN",IN,307
394454,"Champaign, IL",IL,360
394848,"Medford, OR",OR,722
845164,"Lebanon, NH",NH,551
394459,"Charlottesville, VA",VA,481
394763,"Lake Charles, LA",LA,1017
394773,"Las Cruces, NM",NM,655
394464,"Chico, CA",CA,423
394681,"Hilton Head Island, SC",SC,1750
394346,"Athens, GA",GA,498
394765,"Lake Havasu City, AZ",AZ,1587
394485,"Columbia, MO",MO,509
395114,"Springfield, IL",IL,378
394691,"Houma, LA",LA,722
394872,"Monroe, LA",LA,463
394565,"Elkhart, IN",IN,357
394726,"Johnson City, TN",TN,518
395247,"Yuma, AZ",AZ,628
394623,"Gainesville, GA",GA,675
394716,"Jacksonville, NC",NC,776
394597,"Florence, SC",SC,413
394680,"Hilo, HI",HI,1085
395118,"St. Cloud, MN",MN,343
395011,"Racine, WI",WI,403
394380,"Bend, OR",OR,774
395047,"Saginaw, MI",MI,442
395202,"Warner Robins, GA",GA,600
395151,"Terre Haute, IN",IN,431
395162,"Torrington, CT",CT,430
395009,"Punta Gorda, FL",FL,4401
394386,"Billings, MT",MT,591
395018,"Redding, CA",CA,527
